District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,0,0,0,0,0,0,0,0.00,0,0
2,Barishal,60800,24604,51.47,4.747,116800,59875,24241,50.83,4.686,113604
3,Bhola,3728,1509,52.56,4.848,7314,6806,2754,55.89,5.155,14199
4,Jhallokati,2124,860,48.62,4.485,3855,2707,1096,46.19,4.260,4667
5,Patuakhali,0,0,0,0,0,0,0,0.00,0.000,0
6,Pirojpur,29028,11747,50.46,4.655,54678,29010,11740,49.11,4.530,53180
1,"Barishal
Division",95680,38720,51.14,4.717,182647,98398,39831,50.55,4.661,185650
7,Bandarban,6408,2593,48.01,4.429,11484,6464,2616,47.65,4.395,11497
8,Brahmanbaria,13001,5261,51.23,4.726,24863,26512,10729,54.19,4.998,53628
9,Chandpur,15822,6403,54.25,5.004,32042,20019,8102,56.13,5.177,41944
10,Chattogram,33336,13490,49.63,4.577,61751,35006,14167,49.48,4.564,64655
11,Cumilla,52083,21077,50.65,4.672,98475,52360,21198,50.06,4.615,97840
12,Cox’s Bazar,18681,7560,51.70,4.769,36055,30686,12419,46.57,4.295,53343
13,Feni,6388,2585,49.81,4.595,11878,11189,4528,44.65,4.118,18648
14,Khagrachari,9544,3862,46.64,4.302,16616,9678,3917,43.85,4.045,15841
15,Lakshmipur,27239,11023,45.01,4.152,45768,28916,11707,38.61,3.560,41674
16,Noakhali,127559,51620,53.42,4.927,254352,137131,55519,53.06,4.892,271600
17,Rangamati,8338,3374,49.33,4.551,15355,8525,3450,50.93,4.698,16207
2,"Chattogram
Division",318399,128849,51.21,4.724,608639,366487,148351,50.21,4.630,686878
18,Dhaka,32,13,48.34,4.459,57,359,145,48.69,4.491,652
19,Faridpur,1733,701,53.48,4.933,3459,6861,2777,52.92,4.881,13553
