District/ Division,,2020-21,,,,,2021-22,,,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,,,Yield Rate,,"Productio
n"
,,Acres,"Hector
s","Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),"Acre
s",,,"Hector
s","Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,0,0,0,0,0,0,,,0,0,0,0
2,Barishal,1800,728,25.24,2.328,1696,1207,,,489,25.92,2.390,1168
3,Bhola,5670,2295,33.10,3.053,7005,7010,,,2838,43.29,3.991,11327
4,Jhalokathi,160,65,33.38,3.079,199,292,,,118,31.04,2.862,338
5,Patuakhali,31,13,35.01,3.229,41,45,,,18,35.01,3.228,58
6,Pirojpur,57,23,19.54,1.802,42,49,,,20,37.19,3.429,68
1,"Barishal
Division",7718,3123,146,2.876,8983,8603,,,3483,40.36,3.721,12960
7,Bandarban,0,0,0,0.000,0,0,,,0,0,0,0
8,"Brahmanbari
a",1898,768,19.44,1.793,1378,2038,,,825,26.36,2.438,2011
9,Chandpur,107,43,29.28,2.701,117,125,,,51,22.64,2.094,106
10,Chattogram,0,0,0,0.000,0,0,,,0,0,0,0
11,Cumilla,1231,498,27.42,2.529,1259,1119,,,453,28.15,2.603,1179
12,Cox’s Bazar,0,0,0,0.000,0,0,,,0,0,0,0
13,Feni,150,61,28.67,2.645,161,15,,,6,16.18,1.496,9
14,Khagrachari,0,0,0,0.000,0,0,,,0,0,0,0
15,Laxmipur,0,0,0,0.000,0,406,,,164,45.14,4.174,686
16,Noakhali,21,8,25.21,2.325,20,21,,,8,26.38,2.439,21
17,Rangamati,0,0,0,0.000,0,0,,,0,0,0,0
2,"Chattogram
Division",3407,1379,23.073,2.128,2934,3724,,,1508,28.87,2.661,4012
18,Dhaka,372,150,32.83,3.028,455,147,,,60,34.36,3.168,189
19,Faridpur,55341,22395,36.90,3.404,76226,46223,,,18714,39.85,3.674,68756
20,Gazipur,167,67,32.06,2.957,199,139,,,56,20.37,1.878,106
21,Gopalgonj,13291,5379,31.06,2.865,15409,15145,,,6132,30.81,2.841,17418
22,Kishoregonj,3030,1226,27.27,2.515,3084,2682,,,1086,26.62,2.454,2665
23,Madaripur,11787,4770,32.00,2.952,14079,12056,,,4881,34.78,3.207,15652
24,Manikgonj,3993,1616,30.42,2.806,4534,770,,,312,30.91,2.850,888
25,Munsigonj,21,8,31.63,2.918,24,22,,,9,39.03,3.599,32
26,Narayangonj,140,56,20.61,1.901,107,66,,,27,29.18,2.690,72
27,Narsingdi,241,98,24.2,2.232,218,238,,,96,25.33,2.335,225
28,Rajbari,29485,11932,28.39,2.619,31246,28525,,,11549,34.24,3.157,36457
29,Shariatpur,10260,4152,35.18,3.245,13473,10317,,,4177,34.91,3.219,13444
30,Tangail,11985,4850,30.43,2.807,13613,11056,,,4476,29.17,2.689,12039
3,"Dhaka
Division",140111,56700,33.02,3.045,172668,"12738
6",,,51573,35.32,3.256,167942
31,Bagerhat,259,105,20.65,1.905,200,265,,,107,27.1,2.499,268
32,Chuadanga,1869,756,40.31,3.718,2812,2221,,,899,36.96,3.408,3064
33,Jashore,1890,765,32.89,3.034,2320,1012,,,410,33.59,3.097,1269
34,Jhenaidah,13261,5366,37.68,3.476,18652,,1016,,4115,38.47,3.547,14595
,,,,,,,,4,,,,,
