District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,329,373,344,0,0,0,150,258,199,150,258,199
2,Barishal,783,405,404,0,0,0,1518,1383,1583,1518,1383,1583
3,Bhola,243,273.98,275.94,0,0,0,270,432,471.10,270,432,471.10
4,Jhallokati,512,336.45,339,0,0,0,800,1487,1430,800,1487,1430
5,Patuakhali,546,219.83,116.30,0,0,0,313,224.35,229,313,224.35,229
6,Pirojpur,2632,251.59,341.99,0,0,0,980,840.70,835.22,980,840.70,835.22
1,Barishal Division,534,"1859.8
5",1821.23,0,0,0,3701,4625.05,4747.32,3701,"4625.0
5",4747.32
7,Bandarban,534,989,991,525,549,550.89,317,311,309.11,842,860,860
8,Brahmanbaria,317,178.34,180,410,313.79,320.37,967,873.81,897.63,1377,"1187.6
0",1218
9,Chandpur,169,22.89,43,35,0,0,231,438.11,315,266,438.11,315
10,Chattogram,542,556.36,548,834,1584.32,1230.69,5026,4189.88,4562.31,5860,"5774.2
0",5793
11,Cumilla,486,316.29,295,575,213.48,206.12,1018,1902.22,1834.88,1593,"2115.7
0",2041
12,Cox’s Bazar,381,157.54,163,172,692,614.95,279,1606,1683.05,451,2298,2298
13,Feni,159,59.63,62,565,5.57,5.65,6897,151.56,154.35,7462,157.13,160
14,Khagrachari,547,494.19,515,355,170,345.47,618,868.10,649.53,973,"1038.1
0",995.00
15,Lakshmipur,251,476,478,0,0,0,245,552,573,245,552,573
16,Noakhali,242,45.10,48,0,0,0,283,293.37,329,283,293.37,329
17,Rangamati,687,380.55,371,455,406.36,381.82,2568,2404.74,2345.18,3023,"2811.1
0",2727
2,"Chattogram
Division",4315,"3675.8
9",3694,3926,3934.52,3655.96,18449,"13590.7
9",13653.04,22375,"17525.
31",17309
18,Dhaka,342,70.39,75,0,0,0,1230,1215.53,1267,1230,"1215.5
3",1267
19,Faridpur,134,100,118,28,4.29,0,570,635.71,718,598,640,718
20,Gazipur,482,191.18,202,159,192.50,194.12,542,655.20,680.58,701,847.70,874.70
21,Gopalganj,464,64.67,65.86,0,0,0,675,689.74,711.30,675,689.74,711.30
22,Kishoreganj,572,150.7,151,116,149.43,127.25,585,1465.72,1475.75,701,"1615.1
5",1603
23,Madaripur,185,63.77,68,0,0,0,590,479.03,526,590,479.03,526
24,Manikganj,234,106.16,107,0,20.02,0,717,689.91,721,717,709.93,721
25,Munshiganj,127,25.77,25.81,0,0,0,165,158.30,161.95,165,158.30,161.95
26,Narayanganj,116,14.81,13.11,26,25.16,19.9,116,115.53,91.46,142,140.69,111.36
27,Narsingdi,165,80.17,81.88,64,0,0,936,891.27,902.95,1000,891.27,902.95
28,Rajbari,440,373.08,375,121,96.54,94.96,1062,1227.08,1232.04,1183,"1323.6
2",1327
29,Shariatpur,581,292.49,129.15,192,0,0,226,1059.70,996,418,"1059.7
0",996.00
30,Tangail,461,155.59,157,508,210.84,229.50,1081,1690.74,1898.20,1589,"1901.5
8",2127.7
