Sector of Fisheries,Production (MT),,,,,,,,,"Growth
Rate %
(2019-20)"
,1993-94,2003-04,2013-14,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,
A. Inland Fisheries,,,,,,,,,,
1. River and Estuary,143425,137337,167373,178458,271639,320598,325478,331793,337051,1.94
2. Sundarbans,7127,15242,18366,16870,18086,18225,18282,21007,21544,14.90
3. Beel,55592,74328,88911,95453,98117,99197,99890,103104,104871,3.22
4. Kaptai Lake,6635,7238,8179,9589,9982,10152,10578,12696,12345,20.03
5. Floodplain,360597,497922,712976,747872,765782,768367,781481,779801,825433,-0.22
Capture Total,573376,732067,995805,1048242,1163606,1216539,1235709,1248401,1301244,1.03
6. Pond,222542,795810,1526160,1719783,1833118,1900298,1974632,2046258,2090787,3.63
7. Seasonal cultured waterbody,0,0,193303,207658,215547,216353,217340,225948,226608,3.96
8. Baor,2201,4282,6514,7729,8002,8072,10343,10969,11319,6.05
9. Shrimp/Prawn Farm,39447,114660,216447,239798,246406,254367,258039,270114,278417,4.68
10. Crab,0,0,0,13160,14421,11787,12084,12562,12337,3.95
11. Pen Culture,0,0,13054,13364,13368,11015,12361,13425,14282,8.61
12. Cage Culture,0,0,1447,2062,2490,3523,3802,4590,4995,20.73
Culture Total,264190,914752,1956925,2203554,2333352,2405415,2488601,2583866,2638745,3.83
Inland Fisheries Total (A),837566,1646819,2952730,3251796,3496958,3621954,3724310,3832267,3939989,2.90
B. Marine Fisheries,,,,,,,,,,
13. Industrial (Trawler Fishing),12454,32606,76885,105348,108479,120087,107236,115354,119121,7.57
14. Artisanal,240590,422601,518500,521180,528997,534600,552675,555750,562118,0.56
Marine Fisheries Total (B),253044,455207,595385,626528,637476,654687,659911,671104,681239,1.70
TOTAL FISH PRODUCTION (A+B),1090610,2102026,3548115,3878324,4134434,4276641,4384221,4503371,4621228,2.72
