"Sl.
No.",Species/Group,"Inland
Fisheries","Marine
Fisheries",Total,%
1,Major Carp,962049,0,962049,21.36
2,Other Carp,125565,0,125565,2.79
3,Exotic Carp,503224,0,503224,11.17
4,Pangas (Cat Fish),405059,0,405059,8.99
5,Other Cat Fish,69389,0,69389,1.54
6,Snake Head,74368,0,74368,1.65
7,Live Fish,160068,0,160068,3.55
8,Tilapia,371263,0,371263,8.24
9,Other Inland fish,592404,0,592404,13.15
10,Hilsa/Illish (Tenualosa ilisha),245862,304566,550428,12.22
11,Shrimp/Prawn,198465,42816,241281,5.36
12,Crab (Scylla Serrata & Scylla Olivacea),12562,0,12562,0.28
13,Sarpunti (Puntius sarana),98565,0,98565,2.19
14,Cuchia,13424,0,13424,0.30
15,Sardine (Sardinella fimbriata),0,16814,16814,0.37
16,Bombay Duck (Harpondon nehereus),0,70749,70749,1.57
17,Indian Salmon (Polydactylus indicus),0,177,177,0.00
18,Pomfret (Rup/ Hail/ Foli Chanda),0,10023,10023,0.22
19,"Jew Fish (Poa, Lambu, Kaladatina etc.)",0,41943,41943,0.93
20,Sea Cat Fish (Tachysurus spp.),0,13610,13610,0.30
21,Shark/ Skate / Ray,0,3373,3373,0.07
22,Other Marine Fish,0,167033,167033,3.71
TOTAL,Production (Metric Ton),3832267,671104,4503371,100
,%,85.10,14.90,100,
