Type of Fishing,"Number of
Craft (Trawler/
Boat)","Number of
Unit
(Gear/Net)",Catch in Metric Ton,,,,
,,,Shrimp,Hilsa,"Tuna & Tuna
Like Fish",Other Fish,Total
A. Industrial,,,,,,,
Trawl Fishing,,,,,,,
a) Shrimp Trawler,33,90,1978,0,7893,209,10080
b) Fish Trawler,201,570,1091,7781,0,100169,109041
TOTAL INDUSTRIAL (A),234,660,3069,7781,7893,100378,119121
B. Artisanal,,,,,,,
1. Gill Net Fishing,,,,,,,
a) Mechanized,20359,77768,0,279213,4950,63352,347515
b) Non-mechanized,16831,40585,0,26599,0,9743,36342
SUB-TOTAL,37190,118353,0,305812,4950,73095,383857
2. Set Bag Net Fishing,,,,,,,
a) Seasonal (MB),10000,22404,39775,0,8530,106864,155169
b) Seasonal (NMB),5200,10000,0,0,,0,0
c) All Seasonal (NMB),5550,10025,765,0,,418,1183
SUB-TOTAL,20750,42429,40540,0,8530,107282,156352
3. Long Line Fishing,,,,,,,
a) Jew Fish Long Line,,,,,,,
i. Mechanized,2500,10191,0,0,757,14714,15471
ii. Non-mechanized,400,900,0,0,,350,350
b) Other Long Line (NMB),325,772,0,0,,118,118
SUB-TOTAL,3225,11863,0,0,757,15182,15939
4. Trammel Net Fishing (NMB),131,422,969,0,,2093,3062
5. Other Gears Fishing (NMB),6373,15640,1719,0,,1189,2908
TOTAL ARTISANAL (B),67669,188707,43228,305812,14237,198841,562118
GRAND TOTAL (A+B),67903,189367,46297,313593,22130,299219,681239
