District,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
Water body",Baor,"Shrimp/
Prawn Farm","Pen
Culture","Cage
Culture",Total
Dinajpur,298,0,564,0,6138,52132,2152,0,10,0,0,61294
Gaibandha,2170,0,582,0,6400,26818,1303,0,8,334,6,37621
Kurigram,4075,0,1711,0,11545,22136,5167,0,4,355,86,45079
Lalmonirhat,211,0,591,0,1856,14925,4761,0,3,119,6,22472
Nilphamari,205,0,517,0,3786,21269,1404,0,5,30,5,27221
Panchagarh,127,0,58,0,3020,14349,138,0,2,65,0,17759
Rangpur,166,0,1902,0,8519,32476,4562,0,21,45,0,47691
Thakurgaon,119,0,215,0,4078,26975,470,0,2,12,0,31871
Rangpur Division,7371,0,6140,0,45342,211080,19957,0,55,960,103,291008
Bogura,930,0,2656,0,4994,92277,726,0,10,62,10,101665
Chapai Nawabganj,1938,0,3092,0,1556,13971,263,0,0,8,33,20861
Joypurhat,197,0,276,0,164,24050,606,0,23,0,4,25320
Naogaon,1322,0,5375,0,15938,61117,697,0,9,0,0,84458
Natore,881,0,1090,0,16533,52389,256,0,6,15,4,71174
Pabna,4335,0,2761,0,11442,49686,3244,0,5,7,311,71791
Rajshahi,2499,0,4241,0,6616,67492,6409,0,19,0,0,87276
Sirajganj,4619,0,811,0,34342,28716,1152,0,7,21,1401,71069
Rajshahi Division,16721,0,20302,0,91585,389698,13353,0,78,113,1763,533613
Bandarban,154,0,0,0,168,1578,368,0,0,0,0,2268
Brahmanbaria,2029,0,509,0,21363,37519,1732,0,0,619,129,63900
Chandpur,36456,0,304,0,24919,39313,2812,0,188,221,1020,105233
Chattogram,6941,0,55,0,744,69208,3645,0,1555,0,0,82148
Cumilla,1058,0,340,0,75012,144794,82028,0,154,84,243,303713
Cox’s Bazar,2419,0,0,0,1362,5064,163,0,24035,0,0,33043
Feni,1368,0,0,0,7206,26793,425,0,72,7,5,35876
Khagrachhari,182,0,40,0,0,3130,405,0,0,0,0,3757
Lakshmipur,22641,0,0,0,10751,33190,858,0,174,0,74,67688
Noakhali,10437,0,0,0,28694,51657,1139,0,416,0,0,92343
Rangamati,238,0,0,17937,4,1389,563,0,0,74,109,20314
Chattogram Division,83923,0,1248,17937,170223,413635,94138,0,26594,1005,1580,810283
Habiganj,1050,0,2682,0,29441,19496,1215,0,19,0,0,53903
Moulvibazar,495,0,3010,0,25127,23596,804,0,2,0,0,53034
Sunamganj,896,0,24502,0,71297,11112,1692,0,0,18,0,109517
Sylhet,894,0,5471,0,43551,21066,1532,0,0,12,0,72526
Sylhet Division,3335,0,35665,0,169416,75270,5243,0,21,30,0,288980
TOTAL,342545,24259,105573,17937,831317,2166715,231692,11685,300894,15063,5021,4052701
%,8.45,0.60,2.61,0.44,20.51,53.46,5.72,0.29,7.42,0.37,0.12,100
