"Division and
District",All holding,"Non-Fam
holdings",Number of fam holdings,,,,Number of holdings,,,"Agriculture
labour
holding","Fisheries
holding"
,,,Total,Small,Medium,Larg,Owner,"Owner-
cum-
tenant",Tenant,,
1,2,3,4,5,6,7,8,9,10,11,12
76-Pabna,643112,328282,314830,286993,26255,1582,450000,132639,34006,201193,20611
81-Rajshahi,690888,336588,354300,3251111,27760,1429,493270,129304,31383,279865,15814
"88-Sirajganj
hi",775415,401431,373984,342098,30396,1490,558270,153102,50769,263396,26814
Rangpur division,,,,,,,,,,,
Total,4143833,1776848,2366985,2133292,218339,15354,2832534,956880,247781,1743886,85056
Rural,3842507,1566916,2275591,2055997,205021,14573,2623548,917605,219370,1706235,79870
Urban,301326,209932,91394,77295,13318,781,208986,39275,28411,37651,5186
27- Dinajpur,769852,332718,437134,367836,63770,5528,520227,184633,44026,329624,13627
32-Gaibandha,648293,286039,362254,341487,19709,1058,469023,132213,32275,270251,15741
49-Kurigram,568747,254427,314320,288866,24510,944,412576,107145,37171,288234,15209
52-Lalmonirhat,307044,108268,198776,181871,16091,814,215728,62034,23489,136848,7030
73-Nilphamari,466291,210998,255293,233588,20562,1143,334559,88033,32850,201269,7652
77-Panchagarm,254136,78333,175803,155440,18821,1542,169648,72807,7458,91819,5031
85-Rangpur,773871,377675,396196,372428,22268,1500,473873,221302,48965,282179,14428
94-Thakurgaon,355599,128390,227209,191776,32608,2825,236900,88713,21547,143662,6338
Sylhet Division,,,,,,,,,,,
Total,1954299,937759,1016540,892574,111722,12244,1371669,328389,149434,553629,120149
Rural,1823370,833331,990039,869043,109125,11871,1295635,321102,148709,551086,118997
Urban,130929,104428,26501,23531,2597,373,76034,7287,725,2543,1152
36-Habiganj,437133,204400,232733,202261,27475,2997,305569,81329,38187,153355,31272
58-Moulvibazar,390722,186322,204400,184906,18039,1455,248987,52379,72233,87093,12827
90-Sunamganj,488105,214736,273369,229829,38470,5070,357084,93059,20838,191778,48493
91-Sylhet,638339,332301,306038,275578,37738,2722,460029,101622,18176,121403,27557
