SL.No,District Name,Reserved Forest (acre),,"Protected
Forest (acre)","Acqired/
Vested
Forest
(acre)","Un-classed
Forest by
FD (acre)","Un-Classed
Sate Forest
(acre) RD","Gerzed
Control by FD
(acre)","Gerzed total
Forest
(FD+RD)
(acre)"
,,"20th
Amendments
(acre)","4&6th
Amendments",,,,,,
1,2,3,4,5,6,7,8,9,10
1,Dhaka,,934.74,,,,,934.74,934.74
2,Gazipur,"41,057.35","24,115.86",,,,,"65,173.21",65.173.21
3,Mymenshingh,"34,548.21","4,311.93",,,,,"38,860.14","38,860.14"
4,Jamalpur,,"10,364.39",,,,,"10,364.39","10,364.39"
5,Sherpur,"6,327.65","13,759.45",,,,,"20,087.10","20,087.10"
6,Netrokona,593.99,"1,381.60",,,,,"1,975.59","1,975.59"
7,Tangail,"73,815.69","49,061.21",,,,,"122,876.90","122,876.90"
8,Sylhet,"23,900.63","25,538.85",,,,988.88,"49,439.48","50,428.36"
9,Hobigonj,"33,886.73",274.00,,,,"2,200.00","34,160.73","36,359.73"
10,Maulavibazar,"59,300.32",82.00,,"10,932.00",,"1,079.41","70,314.32","71,384.73"
11,Sunamgonj,"6,434.15",11.578.16,,,,,"18,012.31","18,012.31"
12,Chittaganj,"195,754.56","167,496.34","46,435.46","16,402.82",,,"426,089.18","426,089.18"
13,Cox's Bazar,"147,656.97","28,038.10","33,521.42",,,,"209,216.49","209,216.49"
14,Bandarban,"242,693.40","21,830.80",,,"38,644.75","494,372.54","303,168.95","797,541.49"
15,Rangamati,"573,270.21","41,401.88",,1.50,,"763,890.54","614,673.59","1,378,564.13"
16,Khagrachari,"88,492.83","7,342.67",,,"4,202.76","454,077.95","100,038.26","554,116.21"
17,Cumilla,,"1,720.92",,,,,"1,720.92","1,720.92"
18,Feni,"2,191.43","18,000.00",,,,,"20,191.43","20,191.43"
19,Bagerhat,"566,512.95",,,,,,"566,512.95","566,512.95"
20,Khulna,"546,081.61",,,,,,"546,081.61","546,081.61"
21,Satkhiar,"370,357.18",,,,,,"370,357.18","370,354.18"
22,Rangpur,"1,678.47","1,749.03",,21.54,,,"3,449.04","3,449.04"
23,Nilphamari,,,648.59,551.49,,,"1,200.08","1,200.08"
24,Kurigram,128.59,,,,,,128.59,128.59
25,Lalmonirhat,82.62,,,,,,82.62,82.62
26,Dinajpur,"14,609.76","3,455.38",,,,,"18,065.14","18,065.14"
27,Thakurgaon,"1,591.68",,,,,,"1,591.68","1,591.68"
28,Panchagarh,501.38,"4,049.49",,,,,"4,550.87","4,550.87"
29,Naogaon,473.95,,"5,991.70",681.99,,,"7,147.64","7,147.64"
30,Noakhali,72.132.36,"307,867.64","4,784.72",,,,"384,784.72","384,784.72"
31,Lakshmipur,0.00,"50,000.00",,,,,50.000.00,50.000.00
32,Patuakhali,"58,723.87","91,276.13",,,,,"150,000.00","150,000.00"
33,Barguna,"30,533.90","44,466.10",,,,,"75,000.00","75,000.00"
34,Perojpur,,"6,000.00",,,,,"6,000.00","6,000.00"
35,Bhola,"94,245.39","265,754.61",,,,,"360,000.00","360,000.00"
"Total Forest area
(acre)",,"3.287,577.83","1,201,851.28","91,381.89","28,591.34","42,847.51","4,652,249.85","1,716,609.32","6,368,859.17"
"Total Forest area
(Hector)",,"1,331,469.02",486749.77,37009.67,11579.49,17353.28,1884161.19,695226.77,"2,575,169..01"
